file_path,discogs_album_title,ORIGINAL FILENAME
/Volumes/flac/Frankie_Goes_To_Hollywood/Welcome_To_The_Pleasuredome_Super_Deluxe_Edition_2025_CD_44kHz_DR10,Welcome To The Pleasuredome,Welcome To The Pleasuredome (Super Deluxe Edition)
/Volumes/flac/Gary_Kemp/This_Destination_Deluxe_Edition_2025_CD_44kHz_DR06,This Destination,This Destination (Deluxe Edition)
/Volumes/flac/Herbert_Gronemeyer/4630_Bochum_40_Jahre_Edition_2024_Qobuz_44kHz_DR05,4630 Bochum,4630 Bochum - 40 Jahre Edition
/Volumes/flac/Howard_Jones/Dream_Into_Action_Special_Edition_Expanded_Deluxe_2024_Blu_ray_96kHz_DR12,Dream Into Action,Dream Into Action - Special Edition Expanded Deluxe
/Volumes/flac/Howard_Jones/Human_s_Lib_Special_Edition_Expanded_Deluxe_2024_Blu_ray_96kHz_DR11,Human's Lib,Human's Lib - Special Edition Expanded Deluxe
/Volumes/flac/Howard_Jones/One_To_One_Expanded_Remastered_2020_Qobuz_44kHz_DR10,One To One,One To One - Expanded & Remastered
/Volumes/flac/Joe_Jackson/Night_And_Day_Deluxe_Edition_2003_CD_44kHz_DR08,Night And Day,Night And Day (Deluxe Edition)
/Volumes/flac/Mark_Knopfler/Sailing_To_Philadelphia_25th_Anniversary_Edition_2025_Blu_ray_48kHz_DR12,Sailing To Philadelphia,Sailing To Philadelphia (25th Anniversary Edition)
/Volumes/flac/Morrissey/Viva_Hate_Box_Set_1997_CD_44kHz_DR10,Viva Hate,Viva Hate (Box Set)
/Volumes/flac/Natalie_Cole/Unforgettable_With_Love_30th_Anniversary_Edition_2022_Qobuz_96kHz_DR12,Unforgettable With Love,Unforgettable...With Love - 30th Anniversary Edition
/Volumes/flac/Neil_Young/Harvest_Original_Release_Series_04_2014_CD_192kHz_DR13,Harvest,Harvest (Original Release Series 04)
/Volumes/flac/Peter_Gabriel/Peter_Gabriel_1_Car_2003_SACD_88kHz_DR15,Peter Gabriel,Peter Gabriel 1: Car
/Volumes/flac/Peter_Gabriel/Peter_Gabriel_2_Scratch_2003_SACD_88kHz_DR11,Peter Gabriel,Peter Gabriel 2: Scratch
/Volumes/flac/Peter_Gabriel/Peter_Gabriel_3_Melt_2003_SACD_88kHz_DR15,Peter Gabriel,Peter Gabriel 3: Melt
/Volumes/flac/Peter_Gabriel/Peter_Gabriel_3_ein_deutsches_album_2019_Qobuz_96kHz_DR11,Peter Gabriel,Peter Gabriel 3: ein deutsches album
/Volumes/flac/Peter_Gabriel/Peter_Gabriel_4_Security_2003_SACD_88kHz_DR12,Peter Gabriel,Peter Gabriel 4: Security
/Volumes/flac/Peter_Gabriel/Peter_Gabriel_4_deutsches_album_2009_Qobuz_96kHz_DR11,Peter Gabriel,Peter Gabriel 4: deutsches album
/Volumes/flac/Peter_Gabriel/So_25th_Anniversary_Edition_2012_Download_48kHz_DR10,So,So (25th Anniversary Edition)
/Volumes/flac/Phil_Collins/The_Singles_Deluxe_Edition_2016_CD_44kHz_DR08,The Singles,The Singles - Deluxe Edition
/Volumes/flac/Queen/A_Day_At_The_Races_1987_CD_44kHz_DR12,A Day At The Races,A Day At The Races
/Volumes/flac/Queen/News_Of_The_World_1987_CD_44kHz_DR12,News Of The World,News Of The World
/Volumes/flac/Queen/News_Of_The_World_40th_Anniversary_Edition_2017_CD_44kHz_DR09,News Of The World,News Of The World (40th Anniversary Edition)
/Volumes/flac/REO_Speedwagon/Hi_Infidelity_30th_Anniversary_Edition_2011_Qobuz_44kHz_DR10,Hi Infidelity,Hi Infidelity - 30th Anniversary Edition
/Volumes/flac/Styx/Paradise_Theater_2014_Audio_Fidelity_SACD_88kHz_DR13,Paradise Theatre,Paradise Theater
/Volumes/flac/Styx/The_Grand_Illusion_2010_Audio_Fidelity_24_KT_Gold_HDCD_44kHz_DR11,The Grand Illusion,The Grand Illusion
/Volumes/flac/The_Alan_Parsons_Project/The_Turn_Of_A_Friendly_Card_Box_Set_2023_Blu_ray_44kHz_DR12,The Turn Of A Friendly Card,The Turn Of A Friendly Card - Box-Set
/Volumes/flac/The_Beatles/Abbey_Road_Super_Deluxe_Edition_2019_Qobuz_96kHz_DR10,Abbey Road,Abbey Road (Super Deluxe Edition)
/Volumes/flac/The_Beatles/Sgt_Pepper_s_Lonely_Hearts_Club_Band_Parlophone_AUDIO_5_1983_Vinyl_44kHz_DR12,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band (Parlophone AUDIO-5)
/Volumes/flac/The_Beatles/Sgt_Pepper_s_Lonely_Hearts_Club_Band_Red_Wax_Mono_Pressing_1982_Vinyl_96kHz_DR11,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band (Red Wax Mono Pressing)
/Volumes/flac/The_The/The_Comeback_Special_Live_At_The_Royal_Albert_Hall_2021_Qobuz_44kHz_DR06,The Comeback Special (Live At The Royal Albert Hall),The Comeback Special - Live At The Royal Albert Hall
/Volumes/flac/Tina_Turner/Private_Dancer_Black_Triangle_1984_CD_44kHz_DR12,Private Dancer,Private Dancer (Black Triangle)
/Volumes/flac/Tom_Odell/Jubilee_Road_Expanded_Edition_2018_Qobuz_44kHz_DR07,Jubilee Road,Jubilee Road (Expanded Edition)
/Volumes/flac/Tom_Odell/Long_Way_Down_Expanded_Edition_2013_Qobuz_44kHz_DR07,Long Way Down,Long Way Down (Expanded Edition)
/Volumes/flac/Tom_Odell/Wrong_Crowd_Expanded_Edition_2016_Qobuz_96kHz_DR06,Wrong Crowd,Wrong Crowd (Expanded Edition)
/Volumes/flac/Toto/Hydra_Original_Album_Classics_2011_CD_44kHz_DR13,Original Album Classics,Hydra (Original Album Classics)
/Volumes/flac/Toto/Isolation_Original_Album_Classics_2011_CD_44kHz_DR14,Original Album Classics,Isolation (Original Album Classics)
/Volumes/flac/Toto/Toto_Original_Album_Classics_2011_CD_44kHz_DR13,Original Album Classics,Toto (Original Album Classics)
/Volumes/flac/Toto/Turn_Back_Original_Album_Classics_2011_CD_44kHz_DR15,Original Album Classics,Turn Back (Original Album Classics)
/Volumes/flac/Various/The_Prince_s_Trust_10th_Anniversary_Birthday_Party_Recorded_Highlights_Of_1987_CD_44kHz_DR13,Recorded Highlights Of The Prince's Trust 10th Anniversary Birthday Party,The Prince's Trust 10th Anniversary Birthday Party (Recorded Highlights Of)
/Volumes/flac/Various/The_Prince_s_Trust_Concert_1987_Recorded_Highlights_Of_1987_CD_44kHz_DR12,The Prince's Trust Concert 1987,The Prince's Trust Concert 1987 (Recorded Highlights Of)
/Volumes/flac/Wings/Wings_Greatest_1984_Black_Triangle_CD_44kHz_DR11,Wings Greatest,Wings Greatest
/Volumes/flac/Yes/90125_Expanded_Remastered_2004_CD_44kHz_DR07,90125,90125 - Expanded & Remastered
