Artist,Sort Artist,Album,Tracks,Discs,Album DR,Date Master,Date Release,Bit Depth,Sample Rate,Channels,# Covers,Cover Width,Cover Height,Fixed Album Name,Description,Discogs Master,Discogs Release,Musicbrainz Release Group,Musicbrainz Album
Billy Joel,"Joel, Billy",A Matter Of Trust : The Bridge To Russia: The Music [2014 Qobuz 88kHz DR08],27,1,08,2014,2014,24,88,2,1,1400,1400,,Qobuz,m692306,14016540,804a6dcc-4e5b-3db4-b9cb-ff1171c51b8f,ae271c4a-fdd5-45a4-8a75-870f4682be90
Billy Joel,"Joel, Billy",Piano Man - 50th Anniversary Deluxe Edition [2024 SACD 88kHz DR12],10,5,12,1973,2024,24,88,2,1,4235,4217,Piano Man - 50th Anniversary Deluxe Edition,SACD,m56943,29934862,7866f536-a9c7-32eb-8eed-bb49132432fa,77646cca-3fa0-4239-8979-78f3bf12aca4
Billy Joel,"Joel, Billy",Streetlife Serenade (Audio Fidelity) [2015 SACD 88kHz DR13],10,1,13,1974,2015,24,88,2,1,1781,1781,Streetlife Serenade (Audio Fidelity),SACD,m56963,7057031,89ff0095-2ef2-311f-80f2-48b16b85bf56,fce0afbf-359e-4764-9b4a-2031c3319825
Billy Joel,"Joel, Billy",Greatest Hits Volume III [1997 CD 44kHz DR09],17,1,09,1997,1997,16,44,2,1,1400,1400,,,m192732,641458,503ff741-7014-329c-85f0-c78672d654cb,3f720bfd-5d64-454c-87e3-a8ebdc1fc1f6
Billy Joel,"Joel, Billy",Live At Shea Stadium (The Concert) [2011 CD 44kHz DR06],11,2,06,2011,2011,16,44,2,1,1500,1500,,,m883672,7459167,,67b53fec-4334-4033-af2e-2f50ec575a60
Billy Joel,"Joel, Billy",Glass Houses (Audio Fidelity 24 KT + Gold) [2010 HDCD 44kHz DR13],10,1,13,1980,2010,24,44,2,1,1500,1500,Glass Houses (Audio Fidelity 24 KT + Gold),HDCD,m68791,2758505,12a46ae7-fc7a-3a0e-84f6-8c9e476757ef,f3507679-e7a7-4073-b4e1-3744e4e764c3
Billy Joel,"Joel, Billy",An Innocent Man [2013 MFSL SACD 88kHz DR13],10,1,13,1983,2013,24,88,2,1,3460,3460,,MFSL SACD,m43553,5990878,63424e12-759d-3d3d-a14b-0f06101c0a28,011cbe60-981f-42bd-b5f1-034a277a6962
Billy Joel,"Joel, Billy",Storm Front [2014 Qobuz 96kHz DR07],10,1,07,1989,2014,24,96,2,1,1500,1500,,Qobuz,m75442,11717670,,adc08b9e-e081-4bcb-82b0-c95310baa803
Billy Joel,"Joel, Billy",The Nylon Curtain [2012 MFSL SACD 88kHz DR13],9,1,13,1982,2012,24,88,2,1,1500,1500,,MFSL SACD,m72046,5902138,b1424104-8403-3bce-8130-2ebee0053ddb,20710298-cc11-4d23-acfd-de787f52c429
Billy Joel,"Joel, Billy",52nd Street (MasterSound 24 KT Gold Disc) [1992 CD 44kHz DR13],9,1,13,1978,1992,16,44,2,1,1512,1512,52nd Street (MasterSound 24 KT Gold Disc),,m57048,2455666,54e6b4a1-7a6a-3ead-b032-0912cfd49a1e,ee7fe909-0286-499c-8726-2b8e360fb039
Billy Joel,"Joel, Billy",The Stranger [2012 MFSL SACD 88kHz DR13],9,1,13,1977,2012,24,88,2,1,2352,2352,,MFSL SACD,m57029,3967141,735bcee6-6be6-3957-af15-d21ba2bd355b,cfe2b055-21ae-458e-91dd-3622369a1b1e
Billy Joel,"Joel, Billy",Glass Houses [2012 MFSL SACD 88kHz DR14],10,1,14,1980,2012,24,88,2,1,1500,1500,,MFSL SACD,m68791,3960680,12a46ae7-fc7a-3a0e-84f6-8c9e476757ef,0b4c1a06-cac9-4098-bbd8-10081b555387
Billy Joel,"Joel, Billy",Piano Man [2011 MFSL SACD 88kHz DR12],10,1,12,1973,2011,24,88,2,1,1600,1600,,MFSL SACD,m56943,3592807,,4b713066-3f02-4d7c-8d24-b353af339717
Billy Joel,"Joel, Billy",Cold Spring Harbor [2014 Qobuz 96kHz DR09],10,1,09,1971,2014,24,96,2,1,1500,1500,,Qobuz,m40714,12693941,8b6980bf-7fb3-332f-a7df-6526d2bb2bc9,7d3e2e63-0a4f-4ac4-95ea-605b476404e4
