Artist,Sort Artist,Album,Tracks,Discs,Album DR,Date Master,Date Release,Bit Depth,Sample Rate,Channels,# Covers,Cover Width,Cover Height,Fixed Album Name,Description,Discogs Master,Discogs Release,Musicbrainz Release Group,Musicbrainz Album
Sade,Sade,Promise [1985 CD 44kHz DR14],11,1,14,1985,1985,16,44,2,1,1417,1417,,,m43946,845780,d49bd610-a10e-3f14-8bd0-0121f7f20a4d,8f343eab-6ed2-4b46-be17-7035d5d3c0cb
Rick Springfield,"Springfield, Rick",The Best Of Rick Springfield [1999 Qobuz 44kHz DR10],16,1,10,1999,1999,16,44,2,1,1487,1487,,Qobuz,m699128,5800308,e66aeb04-c090-3788-837d-440a3a6ea470,d83d4d84-b1cd-449e-895b-7acc36c16433
Rick Springfield,"Springfield, Rick",Hard To Hold - Soundtrack Recording [1984 CD 44kHz DR13],10,1,13,1984,1984,16,44,2,1,1500,1500,,,m142800,1809510,0e5bc7dc-7b0d-3bb4-a928-b9c9706b6208,b3105352-4e03-4ce7-834a-cc51fafa24ab
Heart,Heart,Greatest Hits 1985 - 1995 [2000 CD 44kHz DR08],18,1,08,2000,2000,16,44,2,1,1280,1280,,,m106525,18332830,bb864441-1563-3962-a62d-3c78a7812379,3475a050-7267-44de-b905-439b0f4804e5
"Jackson Browne , David Lindley","Browne, Jackson & Lindley, David",Love Is Strange [2010 CD 44kHz DR11],13,2,11,2010,2010,16,44,2,1,1657,1657,,,m1074774,2555329,,fdb1b57c-21aa-41a5-afef-dad063f7aa27
John Cougar Mellencamp,,Scarecrow [1985 CD 44kHz DR13],12,1,13,1985,1985,16,44,2,1,1400,1400,,,m101688,6324381,53bc159b-dd34-3486-a37d-e4f7a2b94991,bfc790a6-dfd7-4f05-b0e0-bcd6dd4619a7
John Cougar Mellencamp,"Mellencamp, John Cougar",American Fool [1982 Vinyl 96kHz DR12],9,1,12,1982,1982,24,96,2,1,1425,1425,,Vinyl,m101677,5594308,,50af175b-02bf-457f-a64e-65d7bda2ea31
Sting,Sting,The Soul Cages [1991 CD 44kHz DR14],9,1,14,1991,1991,16,44,2,1,1500,1500,,,m39322,446396,7ad29024-cf86-311c-9844-ca9054de16cd,d5786db7-0210-4be2-8902-a00c87099a8d
Sting,Sting,The Dream Of The Blue Turtles [1993 MFSL UDCD 44kHz DR13],10,1,13,1985,1993,16,44,2,1,1500,1500,,MFSL UDCD,m32708,446402,93ef0ae1-0735-3699-b450-d79bdcb3d0b8,7b7feb06-5bf7-30ed-84b2-d482dc9f8762
Sting,Sting,Bring On The Night [2005 DVD-Audio 192kHz DR15],6,2,15,1986,2005,24,192,2,1,1500,1500,,DVD-Audio,m33618,4324933,,5060cf25-c422-4f98-a1b9-13badd7ba055
Sting,Sting,Ten Summoner's Tales [1993 CD 44kHz DR12],12,1,12,1993,1993,16,44,2,1,1500,1500,,,,2151216,,a5d00a31-92aa-31bb-8521-30dd3bdd9bc1
Sting,Sting,My Songs [2019 CD 44kHz DR07],19,1,07,2019,2019,16,44,2,1,1500,1500,,,m1553980,13673808,,cdccb57f-b9a7-4812-bb96-ba8ce0d87eb7
Sting,Sting,Brand New Day [2004 SACD 88kHz DR10],10,1,10,1999,2004,24,88,2,1,1500,1500,,SACD,m33598,2289403,,34145171-a035-4a40-b374-364a534df9a4
Sting,Sting,...Nothing Like The Sun [1991 MFSL UDCD 44kHz DR15],12,1,15,1987,1991,16,44,2,1,1500,1500,,MFSL UDCD,m33572,1701867,ec048bb5-1fc3-32a7-b560-c07ddd0df544,3962f41d-71b2-3da6-9ecb-9d99c83d9995
Bee Gees,Bee Gees,Their Greatest Hits: The Record [2001 CD 44kHz DR07],21,2,07,2001,2001,16,44,2,1,1500,1500,,,m24098,19657267,,26906f4a-7ef3-3b73-9c24-ff84fa492262
Styx & REO Speedwagon,Styx & REO Speedwagon,Arch Allies [2000 Qobuz 44kHz DR07],12,2,07,2000,2000,16,44,2,1,1425,1425,,Qobuz,m664614,5388776,16c08858-0f05-35e3-9491-fdf50eb44837,54d434e6-82cb-42d0-8534-4893d8e55255
George Harrison,"Herrison, George",Cloud Nine [1987 CD 44kHz DR13],11,1,13,1987,1987,16,44,2,1,1180,1180,,,m74960,7945348,024b3f7e-f4b6-3ecd-a104-90a946344492,e578ceff-cf0c-462e-bb99-3cced5a69aff
Van Morrison,"Morrison, Van",Enlightenment [2020 Qobuz 96kHz DR10],12,1,10,1990,2020,24,96,2,1,2980,2980,,Qobuz,m16671,14922817,02a1ac43-a1e4-34a6-bbdb-1a552c271f1e,839847f6-4bb9-479f-9557-9f89399a4e23
Van Morrison,"Morrison, Van",Hymns To The Silence [2020 Qobuz 96kHz DR10],21,1,10,1991,2020,24,96,2,1,1500,1500,,Qobuz,m16791,14833032,ecb25d37-c12d-32a7-871c-573d0f5b39ed,fa4c68a8-8619-4034-b96a-1b3dfa3b203f
Van Morrison,"Morrison, Van",Days Like This [2020 Qobuz 96kHz DR10],12,1,10,1995,2020,24,96,2,1,1500,1500,,Qobuz,m25770,14918726,defa7bc5-d4ee-36b8-a190-22b49067034c,21592b5d-9e17-4a1b-85c6-2c0d4f431d6a
Chicago,Chicago,Chicago 16 [2013 HDTracks 192kHz DR14],10,1,14,1982,2013,24,192,2,1,2400,2400,,HDTracks,m97926,11934669,8c7a17ee-4100-3b24-9ad7-aa5c4d43b40c,b907a0bf-17f0-4942-be71-10234a909a20
Chicago,Chicago,Chicago 17 [2013 HDTracks 192kHz DR13],10,1,13,1984,2013,24,192,2,1,2400,2400,,HDTracks,m25569,11934693,3053c046-7bf3-34e7-b314-1fa2682ca81b,e56a2159-29fe-471a-845b-96c3d7e4a4bb
Journey,Journey,Greatest Hits [2015 HDTracks 96kHz DR09],16,1,09,1988,2015,24,96,2,1,3000,3000,,HDTracks,m92802,12023281,,55a9d615-f60b-4b2f-a872-31405340af90
Roy Orbison,"Orbison, Roy",Black & White Night [2004 DVD-Audio 96kHz DR08],17,1,08,1990,2004,24,96,2,1,1390,1390,,DVD-Audio,m744565,5990624,,367cf885-1192-4727-a8c5-c831e998ec9c
Tony Carey,"Carey, Tony",The Story So Far [1989 CD 44kHz DR12],10,1,12,1989,1989,16,44,2,1,1500,1500,,,m579740,4771151,,ed8130ba-319d-4132-a04b-76447c0eff71
Youssou N'Dour & Neneh Cherry,"N'Dour, Youssou, Cherry, Neneh",7 Seconds [1994 CD 44kHz DR11],5,1,11,1994,1994,16,44,2,1,1500,1500,,,m82785,181768,43c86a8b-ddab-3a9e-b56b-78a23e2133b3,8e678ad5-4d7c-4b53-9bb5-88928f9afd2c
Elton John,"John, Elton",Greatest Hits (DCC 24 KT Gold) [1994 CD 44kHz DR12],11,1,12,1974,1994,16,44,2,1,1500,1500,Greatest Hits (DCC 24 KT Gold),,m85568,6552567,6619f357-4115-3d8a-bd52-238641c23c28,74bc1724-3118-40fe-8a83-1076248aaa03
Elton John,"John, Elton",Too Low For Zero [1983 CD 44kHz DR12],10,1,12,1983,1983,16,44,2,1,1400,1400,,,m87201,4984041,06e023f6-8b88-3554-9ce6-e2b8f1e69925,efc1e52b-3dcd-4f67-8710-3b9a3e554f1a
Elton John,"John, Elton",Goodbye Yellow Brick Road [2010 SHM-SACD 176kHz DR12],17,1,12,1973,2010,24,176,2,1,1000,1000,,SHM-SACD,m30577,3420244,80df0f1b-4ce7-348a-aa1b-0d31ebff111a,b8835445-9ba6-4662-a6cb-a36129297f1b
Electric Light Orchestra,Electric Light Orchestra,Balance Of Power [2015 HDTracks 192kHz DR08],10,1,08,1986,2015,24,192,2,1,1500,1500,,HDTracks,m21730,12123889,9e484c34-e248-374a-a438-d5fd1bffe1b9,d942e454-1a8f-42c2-ba02-fbe88dbadfb3
Electric Light Orchestra,Electric Light Orchestra,A New World Record (30th Anniversary Edition) [2006 CD 44kHz DR09],15,1,09,1976,2006,16,44,2,1,1416,1416,A New World Record (30th Anniversary Edition),,m17470,2199944,e3fb6403-71d2-3815-b85a-4f4edb18a556,fba58e0e-1251-4797-8784-b9d8751c87c3
Electric Light Orchestra,Electric Light Orchestra,The Electric Light Orchestra [2015 Qobuz 96kHz DR06],9,1,06,1971,2015,24,96,2,1,1500,1500,,Qobuz,m97910,12115189,06c9ea56-a66c-37a1-866e-939100e73998,a57756b0-f7d9-437e-b85c-bd415608f233
Electric Light Orchestra,,Face The Music (MasterSound Collector's Edition) [1993 CD 44kHz DR12],8,1,12,1975,1993,16,44,2,1,1500,1500,Face The Music (MasterSound Collector's Edition),,m21693,2298345,,
Electric Light Orchestra,Electric Light Orchestra,Electric Light Orchestra II [2015 Qobuz 192kHz DR07],5,1,07,1973,2015,24,192,2,1,1500,1500,,Qobuz,m97911,12119758,a413adb4-919c-3a4d-b004-e8b1b39a38ad,20783fea-d1bd-47de-863d-8b66d907b7b1
Electric Light Orchestra,,Time [2015 HDTracks 192kHz DR07],13,1,07,1981,2015,24,192,2,1,1500,1500,,HDTracks,m71368,12123876,dc020487-5f78-3d97-b06e-5f7a3dbb2265,6ea4e39a-83cf-43c5-b4eb-30df16bac395
Electric Light Orchestra,Electric Light Orchestra,Mr. Blue Sky (The Very Best Of Electric Light Orchestra) [2012 Qobuz 44kHz DR07],12,1,07,2012,2012,16,44,2,1,3000,3000,,Qobuz,m491885,3997308,02637535-e213-4551-b8f7-afcd70f41f44,ad81ca3c-41c2-417a-a2c8-53e5b5e61e73
Electric Light Orchestra,Electric Light Orchestra,Time [1989 CD 44kHz DR11],13,1,11,1981,1989,16,44,2,1,1500,1500,,,m71368,6378064,dc020487-5f78-3d97-b06e-5f7a3dbb2265,4515f96b-ee03-4592-b419-68b887d0dd15
Electric Light Orchestra,Electric Light Orchestra,Discovery [1993 MasterSound 24 KT Gold Disc 44kHz DR13],9,1,13,1979,1993,16,44,2,1,1500,1500,,MasterSound 24 KT Gold Disc,m17491,7081102,e4f25e55-94d2-3037-a826-b3610490ea2d,a143f7ce-596c-434a-8298-481301fef06b
Electric Light Orchestra,Electric Light Orchestra,Wembley Or Bust [2017 Tidal 48kHz DR07],11,2,07,2017,2017,24,48,2,1,1500,1500,,Tidal,m1269609,11157193,,734149af-e6cb-445b-9c7e-f66c970f3fc0
Electric Light Orchestra,,Eldorado  (A Symphony By The Electric Light Orchestra) [1993 DCC Compact Classics 24 KT Gold 44kHz DR11],10,1,11,1974,1993,16,44,2,1,2000,2000,,DCC Compact Classics 24 KT Gold,m21685,5869461,,379fb1ae-5d7e-3e0c-bca7-b0639f365461
Electric Light Orchestra,Electric Light Orchestra,Secret Messages [2018 HDTracks 192kHz DR09],17,1,09,1983,2018,24,192,2,1,1400,1400,,HDTracks,m21720,12537229,2afe820d-6783-3eef-8527-eefd61e3a134,5910403c-72e9-481c-950c-c7b6eeff3ee0
Electric Light Orchestra,Electric Light Orchestra,On The Third Day [2015 Qobuz 192kHz DR08],9,1,08,1973,2015,24,192,2,1,1500,1500,,Qobuz,m21705,12119770,1f558f0f-9a51-44fe-8f20-d42c6490f916,8420d0d3-68cd-4ca7-8555-ef6850dc33fc
Electric Light Orchestra,Electric Light Orchestra,Eldorado - A Symphony By The Electric Light Orchestra [2022 MFSL SACD 88kHz DR12],10,1,12,1974,2022,24,88,2,1,1500,1500,,MFSL SACD,m21685,22678805,8c64bcf7-d73f-37c1-8a04-9b2f80a6d30f,9f74f3d0-0ca5-4368-9cad-e1d5b847a746
Electric Light Orchestra,Electric Light Orchestra,Flashback [2010 CD 44kHz DR10],21,3,10,2000,2010,16,44,2,1,1500,1500,,,m218671,12596637,959fa6aa-e07f-396e-8dc0-eb07413be442,b39d4d10-eff6-4dff-bdd6-ecc484bb0a61
Electric Light Orchestra,Electric Light Orchestra,Out Of The Blue [1986 CD 44kHz DR11],9,2,11,1977,1986,16,44,2,1,1500,1500,,,m21680,3946092,a720436f-9c8e-439a-a147-18e83441edab,98de174c-6b35-4867-8ca6-043a164fc3a9
Charlie Dore,"Dore, Charlie",Where To Now [1979 Vinyl 44kHz DR12],10,1,12,1979,1979,16,44,2,1,1440,1440,,Vinyl,m362184,5003468,31cc4ceb-5285-415e-b5e6-0a1e4b1eb3d3,2ff74173-07f8-4f5f-b601-3e7f90e63a7b
Patty Smyth,"Smyth, Patty",Patty Smyth [1992 CD 44kHz DR12],10,1,12,1992,1992,16,44,2,1,1500,1500,,,m269480,2303610,de9b8ea1-530a-30f9-b3eb-8f2414e8c151,c152137a-8440-49ce-89fe-a1ef7e0f3f49
Dion,Dion,Yo Frankie [1989 CD 44kHz DR12],10,1,12,1989,1989,16,44,2,1,1364,1364,,,m63969,12113395,,bc11c860-bb0a-4e60-b633-49198f8c01c5
"Eleanor McEvoy , James Cramer","James Cramer & McEvoy, Eleanor",Snowflakes Fall [2014 CD 44kHz DR07],1,1,07,2014,2014,16,44,2,1,2560,2560,,,,23624789,e3d25559-0395-4d24-aa0b-b8c882389be0,6db15bf8-6beb-4353-be79-e930b42e5598
Amy Macdonald,"Macdonald, Amy",Under Stars - Deluxe Version [2017 Qobuz 44kHz DR10],19,1,10,2017,2017,16,44,2,1,1200,1200,Under Stars - Deluxe Version,Qobuz,m1137586,9964147,6f60c8c6-b041-4a15-be52-d3c34775e8db,85e57291-50e6-4409-b8d2-96dca1cf9095
Talk Talk,Talk Talk,The Very Best Of Talk Talk [1997 CD 44kHz DR12],16,1,12,1997,1997,16,44,2,1,1500,1500,,,m120414,302174,,3db5f5a0-485c-4a2a-885a-7dfc76c594ab
Clarence Clemons,"Clemons, Clarence",Hero [1985 CD 44kHz DR08],9,1,08,1985,1985,16,44,2,1,1568,1568,,,m140041,4509871,5aa0b0a0-c8b4-3fa4-8ada-0fbcbaa21fde,afad794d-9ae2-4696-a44d-8dfb795fa0b3
Ben Folds,"Folds, Ben",Ben Folds Live [2002 Qobuz 44kHz DR10],17,1,10,2002,2002,16,44,2,1,1417,1417,,Qobuz,m293940,1371320,,abca02ce-aef1-43be-a2c2-3d0134bcb805
Christy Moore,"Moore, Christy",The Christy Moore Collection 81 - 91 [CD 44kHz DR13],20,1,13,0,0,16,44,2,1,1411,1411,,,m483337,1169721,,9d7f691d-7146-4341-bc14-76fe07bb740c
Christy Moore,"Moore, Christy",At The Point Live [1994 CD 44kHz DR14],14,1,14,1994,1994,16,44,2,1,1400,1400,,,m316042,5373370,,24c4d72b-fd9c-463a-802d-aebd5e8f2a0a
Christy Moore,"Moore, Christy",Graffiti Tongue [1997 CD 44kHz DR10],12,1,10,1996,1997,16,44,2,1,1400,1400,,,m316044,8395765,,6f593b5e-0161-4126-8e7c-14090a082f83
Fischer-Z,Fischer‐Z,Red Skies Over Paradise [1989 CD 44kHz DR13],13,1,13,1981,1989,16,44,2,1,1500,1500,,,m107674,3164846,f0e8e935-0594-30db-aef9-2299a4068b46,1ee1bd43-0f09-3f4a-b18e-d9577c18e8c4
Tupelo,Tupelo,Push On [2014 CD 44kHz DR09],12,1,09,2014,2014,16,44,2,1,3000,3000,,,m1386607,6530829,6a4a5593-eca1-4b14-99cb-a8ed2a055981,6fbe2c75-ce18-4458-b492-94db1df5cb0c
Sinéad O'Connor,"O’Connor, Sinéad",I Do Not Want What I Haven't Got [2009 CD 44kHz DR09],10,2,09,1990,2009,16,44,2,1,1417,1417,,,m51591,1817050,9747bcfe-7c42-35ac-8c3e-7ecac9f1227b,ff082da1-a3d6-35c3-8082-ad4c53b195f2
"Huey Lewis , Gwyneth Paltrow","Lewis, Huey, Paltrow, Gwyneth",Cruisin' [2000 CD 44kHz DR08],3,1,08,2000,2000,16,44,2,1,2000,2000,,,m428317,3544261,00969b59-2de7-3b4d-8ff5-f9d26538f79e,6a23fb83-7f6b-4548-9f21-5bbe3b51fa4c
Die Crackers,"Crackers, Die",BRDigung [1993 CD 44kHz DR11],14,1,11,1981,1993,16,44,2,1,3000,3000,,,m17283,1258703,718bda0a-8b49-361f-bda9-e44d19627792,020da6a5-b0fd-3a71-919d-5e158f32e853
Dave Edmunds,"Edmunds, Dave",Closer To The Flame [1990 CD 44kHz DR12],11,1,12,1989,1990,16,44,2,1,2788,2788,,,m214252,2055387,aa49c95c-f734-3258-8ed0-b0753f186735,873f9f76-7c1d-4ef5-89a3-3787e71798a7
The Chieftains,"Chieftains ,The",The Long Black Veil [1995 CD 44kHz DR11],13,1,11,1995,1995,16,44,2,1,3600,3600,,,m54409,19246114,,
